,index,Name,True_Label,Predicted_Label,Depth,Correctly_Classified,Label_Difference
0,199,2022-07-27_154626_MDCNGB5,0,2,,False,-2
1,333,2022-08-30_143943_MDCBGB2,0,2,,False,-2
2,330,2022-08-30_143703_MDCBGB1,0,0,,True,0
3,366,2022-08-30_145326_MDCBGB4,0,2,,False,-2
4,349,2022-08-30_144836_MDCBGB3,2,2,,True,0
5,351,2022-08-30_144856_MDCBGB3,2,1,,False,1
6,332,2022-08-30_143933_MDCBGB2,0,0,,True,0
7,73,2022-07-08_144254_MDCNGB4,1,1,,True,0
8,395,2022-08-30_160346_MDCBGB12,0,0,,True,0
9,369,2022-08-30_151448_MDCBGB8,0,1,,False,-1
10,341,2022-08-30_144113_MDCBGB2,0,1,,False,-1
11,466,2022-09-01_144544_MDCNGB2,0,0,,True,0
12,362,2022-08-30_145246_MDCBGB4,0,0,,True,0
13,70,2022-07-08_144224_MDCNGB4,0,2,,False,-2
14,92,2022-07-08_145630_MDCNGB6,0,2,,False,-2
15,354,2022-08-30_145126_MDCBGB4,0,1,,False,-1
16,297,2022-08-24_145826_MDCNGB2,0,0,,True,0
17,1,2022-07-08_142412_MDCNGB2,0,0,,True,0
18,281,2022-08-24_145341_MDCNGB1,0,0,,True,0
19,4,2022-07-08_142442_MDCNGB2,1,1,,True,0
20,91,2022-07-08_145620_MDCNGB6,0,0,,True,0
21,404,2022-08-30_151914_MDCBGB9,0,1,,False,-1
22,245,2022-08-04_152445_MDCNGB2,0,2,,False,-2
23,350,2022-08-30_144846_MDCBGB3,1,2,,False,-1
24,347,2022-08-30_144816_MDCBGB3,2,2,,True,0
25,387,2022-08-30_151804_MDCBGB9,0,1,,False,-1
26,346,2022-08-30_144806_MDCBGB3,1,2,,False,-1
27,205,2022-07-27_154726_MDCNGB5,1,0,,False,1
28,277,2022-08-24_145301_MDCNGB1,0,0,,True,0
29,53,2022-07-08_143934_MDCNGB4,0,0,,True,0
30,288,2022-08-24_145656_MDCNGB2,0,2,,False,-2
31,372,2022-08-30_151522_MDCBGB8,0,0,,True,0
32,368,2022-08-30_151438_MDCBGB8,0,0,,True,0
33,294,2022-08-24_145756_MDCNGB2,0,2,,False,-2
34,99,2022-07-08_145740_MDCNGB6,0,1,,False,-1
35,371,2022-08-30_151512_MDCBGB8,0,1,,False,-1
36,364,2022-08-30_145306_MDCBGB4,0,0,,True,0
37,280,2022-08-24_145331_MDCNGB1,0,0,,True,0
